date,temp_C,rain_mm,wet
2025-01-01,3.516952506516725,8.170926866436758,1.0
2025-01-02,3.036354093542077,0.0,0.0
2025-01-03,2.199989353716264,0.0,0.0
2025-01-04,3.3044608103894317,0.0,0.0
2025-01-05,1.1094541755107499,0.0,0.0
2025-01-06,0.7674284609934503,3.8115562825414284,1.0
2025-01-07,1.5984416292541375,0.0,0.0
2025-01-08,3.2747141163935427,3.2926912905983086,1.0
2025-01-09,2.2121569185106913,0.0,0.0
2025-01-10,1.1803542289637108,0.0,0.0
2025-01-11,0.9179782797095744,0.0,0.0
2025-01-12,0.8682650345016638,0.0,0.0
2025-01-13,1.657030859391535,0.0,0.0
2025-01-14,3.720162045225276,3.3337629852854516,1.0
2025-01-15,8.882056742395754,1.8083028752015011,1.0
2025-01-16,7.4988259010061675,3.0965890476399434,1.0
2025-01-17,9.926588847543977,0.0,0.0
2025-01-18,8.96869581775772,0.0,0.0
2025-01-19,5.191054844798311,0.0,0.0
2025-01-20,6.308893752215924,0.0,0.0
2025-01-21,8.848867821270606,0.0,0.0
2025-01-22,3.9865481779421534,0.0,0.0
2025-01-23,1.2607020358605314,0.0,0.0
2025-01-24,0.3503183135175938,0.0,0.0
2025-01-25,1.8145944113489945,0.0,0.0
2025-01-26,0.898883083438669,0.0,0.0
2025-01-27,2.953837269245632,0.0,0.0
2025-01-28,5.75181484072295,0.0,0.0
2025-01-29,3.946558188480488,0.0,0.0
2025-01-30,1.3444482995578042,0.0,0.0
2025-01-31,-0.5287793366769757,0.0,0.0
2025-02-01,1.3892698938089003,2.190372575565648,1.0
2025-02-02,1.4008301438131805,0.2294901195418174,1.0
2025-02-03,4.936540363361128,0.0,0.0
2025-02-04,6.257826035879235,6.88555396697059,1.0
2025-02-05,4.0310568099469775,0.0,0.0
2025-02-06,2.688790091697054,1.2748014036060997,1.0
2025-02-07,2.2969220491703957,6.662131285890463,1.0
2025-02-08,4.0230563948497355,0.0,0.0
2025-02-09,5.626506057172214,0.0,0.0
